Unit_Code,Start_Date,Year_Quarter,Year,Quarter,Station_ID,Station_Type,Loc_Type,Pool_Group,Loc_Name,Parameter,Units,Depth,Lab,Colocation,QA_Flag,Plume,n,mean_value,sd
ALKA,2008-03-20,2008.125,2008,0.125,FALKA01_ap,Fixed,Anchialine,NA,HA_Kahalu_001,NO3,mg/l      ,Surface,PACNEPSC,NA,0,0,3,0.17366666666666666,0.05052062285179522
ALKA,2008-03-20,2008.125,2008,0.125,FALKA01_ap,Fixed,Anchialine,NA,HA_Kahalu_001,TDN,mg/l      ,Surface,PACNEPSC,NA,0,0,3,0.388,0.04950757517794624
ALKA,2008-03-20,2008.125,2008,0.125,FALKA01_ap,Fixed,Anchialine,NA,HA_Kahalu_001,TDP,mg/l      ,Surface,PACNEPSC,NA,0,0,3,0.11866666666666667,0.009609023536933051
ALKA,2008-03-20,2008.125,2008,0.125,FALKA02_ap,Fixed,Anchialine,NA,HA_Holual_001,NO3,mg/l      ,Surface,PACNEPSC,NA,0,0,3,0.447,0.25944363549719235
ALKA,2008-03-20,2008.125,2008,0.125,FALKA02_ap,Fixed,Anchialine,NA,HA_Holual_001,TDN,mg/l      ,Surface,PACNEPSC,NA,0,0,3,0.561,0.21478361203779028
ALKA,2008-03-20,2008.125,2008,0.125,FALKA02_ap,Fixed,Anchialine,NA,HA_Holual_001,TDP,mg/l      ,Surface,PACNEPSC,NA,0,0,3,0.07866666666666666,0.011676186592091325
ALKA,2008-03-20,2008.125,2008,0.125,FALKA03_ap,Fixed,Anchialine,NA,HA_Puuwaa_001,NO3,mg/l      ,Surface,PACNEPSC,NA,0,0,3,0.6053333333333334,0.07915385861304132
ALKA,2008-03-20,2008.125,2008,0.125,FALKA03_ap,Fixed,Anchialine,NA,HA_Puuwaa_001,TDN,mg/l      ,Surface,PACNEPSC,NA,0,0,3,0.599,0.084870489570875
ALKA,2008-03-20,2008.125,2008,0.125,FALKA03_ap,Fixed,Anchialine,NA,HA_Puuwaa_001,TDP,mg/l      ,Surface,PACNEPSC,NA,0,0,3,0.059,0.006082762530298221
ALKA,2008-03-20,2008.125,2008,0.125,FALKA04_ap,Fixed,Anchialine,NA,HA_Puuwaa_002,NO3,mg/l      ,Surface,PACNEPSC,NA,0,0,3,0.38766666666666666,0.04343193909248506
ALKA,2008-03-20,2008.125,2008,0.125,FALKA04_ap,Fixed,Anchialine,NA,HA_Puuwaa_002,TDN,mg/l      ,Surface,PACNEPSC,NA,0,0,3,0.36933333333333335,0.008621678104251716
ALKA,2008-03-20,2008.125,2008,0.125,FALKA04_ap,Fixed,Anchialine,NA,HA_Puuwaa_002,TDP,mg/l      ,Surface,PACNEPSC,NA,0,0,3,0.04666666666666667,0.0032145502536643214
ALKA,2008-05-20,2008.375,2008,0.375,FALKA01_ap,Fixed,Anchialine,NA,HA_Kahalu_001,NO3,mg/l      ,Surface,PACNEPSC,NA,0,0,3,0.0016666666666666668,0.0011547005383792516
ALKA,2008-05-20,2008.375,2008,0.375,FALKA01_ap,Fixed,Anchialine,NA,HA_Kahalu_001,TDN,mg/l      ,Surface,PACNEPSC,NA,0,0,3,0.359,0.04386342439892263
ALKA,2008-05-20,2008.375,2008,0.375,FALKA01_ap,Fixed,Anchialine,NA,HA_Kahalu_001,TDP,mg/l      ,Surface,PACNEPSC,NA,0,0,3,0.037333333333333336,0.010969655114602891
ALKA,2008-05-20,2008.375,2008,0.375,FALKA02_ap,Fixed,Anchialine,NA,HA_Holual_001,NO3,mg/l      ,Surface,PACNEPSC,NA,0,0,3,0.513,0.015394804318340666
ALKA,2008-05-20,2008.375,2008,0.375,FALKA02_ap,Fixed,Anchialine,NA,HA_Holual_001,TDN,mg/l      ,Surface,PACNEPSC,NA,0,0,3,0.666,0.02426932219902315
ALKA,2008-05-20,2008.375,2008,0.375,FALKA02_ap,Fixed,Anchialine,NA,HA_Holual_001,TDP,mg/l      ,Surface,PACNEPSC,NA,0,0,3,0.06966666666666667,0.006027713773341706
ALKA,2008-05-20,2008.375,2008,0.375,FALKA03_ap,Fixed,Anchialine,NA,HA_Puuwaa_001,NO3,mg/l      ,Surface,PACNEPSC,NA,0,0,3,0.6699999999999999,0.16759176590751704
ALKA,2008-05-20,2008.375,2008,0.375,FALKA03_ap,Fixed,Anchialine,NA,HA_Puuwaa_001,TDN,mg/l      ,Surface,PACNEPSC,NA,0,0,3,0.5796666666666667,0.09498596387537128
