Unit_Code,Start_Date,Year_Quarter,Year,Quarter,Station_ID,Station_Type,Loc_Type,Pool_Group,Loc_Name,Parameter,Units,Depth,Lab,Lab_Report_Number,Colocation,QA_Flag,Plume,Data_Flag,Value_Type,n,mean_value,sd,Status
ALKA,2018-02-09,2018.125,2018,0.125,FALKA05_ap,Fixed,Anchialine,NA,HA_Kaulan_001,NO3,mg/l      ,Surface,PACNEPSC,1341,NA,0,0,P,Actual,3,0.221,0.002645751311064593,Uncertified
ALKA,2018-02-09,2018.125,2018,0.125,FALKA05_ap,Fixed,Anchialine,NA,HA_Kaulan_001,TDN,mg/l      ,Surface,PACNEPSC,1341,NA,0,0,P,Actual,3,0.41633333333333333,0.04675824347998259,Uncertified
ALKA,2018-02-09,2018.125,2018,0.125,FALKA05_ap,Fixed,Anchialine,NA,HA_Kaulan_001,TDP,mg/l      ,Surface,PACNEPSC,1341,NA,0,0,P,Actual,3,0.12033333333333333,0.003785938897200178,Uncertified
ALKA,2018-02-16,2018.125,2018,0.125,FALKA01_ap,Fixed,Anchialine,NA,HA_Kahalu_001,NO3,mg/l      ,Surface,PACNEPSC,1296,NA,0,0,P,Actual,3,0.16066666666666668,0.0035118845842842493,Uncertified
ALKA,2018-02-16,2018.125,2018,0.125,FALKA01_ap,Fixed,Anchialine,NA,HA_Kahalu_001,TDN,mg/l      ,Surface,PACNEPSC,1296,NA,0,0,P,Actual,3,0.42133333333333334,0.004725815626252613,Uncertified
ALKA,2018-02-16,2018.125,2018,0.125,FALKA01_ap,Fixed,Anchialine,NA,HA_Kahalu_001,TDP,mg/l      ,Surface,PACNEPSC,1296,NA,0,0,P,Actual,3,0.099,0.0020000000000000018,Uncertified
ALKA,2018-02-16,2018.125,2018,0.125,FALKA06_ap,Fixed,Anchialine,NA,HA_Manini_001,NO3,mg/l      ,Surface,PACNEPSC,1296,NA,0,0,P,Actual,3,1.6553333333333333,0.02571640202931457,Uncertified
ALKA,2018-02-16,2018.125,2018,0.125,FALKA06_ap,Fixed,Anchialine,NA,HA_Manini_001,TDN,mg/l      ,Surface,PACNEPSC,1296,NA,0,0,P,Actual,3,2.039,0.009000000000000119,Uncertified
ALKA,2018-02-16,2018.125,2018,0.125,FALKA06_ap,Fixed,Anchialine,NA,HA_Manini_001,TDP,mg/l      ,Surface,PACNEPSC,1296,NA,0,0,P,Actual,3,0.062,0.0036055512754639887,Uncertified
ALKA,2018-05-31,2018.375,2018,0.375,FALKA05_ap,Fixed,Anchialine,NA,HA_Kaulan_001,NO3,mg/l      ,Surface,PACNEPSC,1341,NA,0,0,P,Actual,3,0.06866666666666667,0.0011547005383792527,Uncertified
