Unit_Code,Start_Date,Year_Quarter,Year,Quarter,Station_ID,Station_Type,Loc_Type,Pool_Group,Loc_Name,Parameter,Units,Depth,Lab,Colocation,QA_Flag,Plume,n,mean_value,sd
KAHO,5/15/2008,2008.375,2008,0.375,FKAHO01_ap,Fixed,Anchialine,Central,HA_Kaloko_005,NO3,mg/l      ,Surface,PACNEPSC,NA,0,0,3,0.653666667,0.164101595
KAHO,5/15/2008,2008.375,2008,0.375,FKAHO01_ap,Fixed,Anchialine,Central,HA_Kaloko_005,TDN,mg/l      ,Surface,PACNEPSC,NA,0,0,3,0.799333333,0.177967225
KAHO,5/15/2008,2008.375,2008,0.375,FKAHO01_ap,Fixed,Anchialine,Central,HA_Kaloko_005,TDP,mg/l      ,Surface,PACNEPSC,NA,0,0,3,0.069666667,0.011718931
KAHO,5/15/2008,2008.375,2008,0.375,FKAHO02_ap,Fixed,Anchialine,Central,HA_Kaloko_016,NO3,mg/l      ,Surface,PACNEPSC,NA,0,0,3,0.656333333,0.246000678
KAHO,5/15/2008,2008.375,2008,0.375,FKAHO02_ap,Fixed,Anchialine,Central,HA_Kaloko_016,TDN,mg/l      ,Surface,PACNEPSC,NA,0,0,3,0.939666667,0.158272971
KAHO,5/15/2008,2008.375,2008,0.375,FKAHO02_ap,Fixed,Anchialine,Central,HA_Kaloko_016,TDP,mg/l      ,Surface,PACNEPSC,NA,0,0,3,0.069666667,0.01530795
KAHO,5/15/2008,2008.375,2008,0.375,TKAHO0120080515,Temporary,Anchialine,Central,HA_Kaloko_011,NO3,mg/l      ,Surface,PACNEPSC,NA,0,0,3,0.700333333,0.105850524
KAHO,5/15/2008,2008.375,2008,0.375,TKAHO0120080515,Temporary,Anchialine,Central,HA_Kaloko_011,TDN,mg/l      ,Surface,PACNEPSC,NA,0,0,3,0.956666667,0.117738411
KAHO,5/15/2008,2008.375,2008,0.375,TKAHO0120080515,Temporary,Anchialine,Central,HA_Kaloko_011,TDP,mg/l      ,Surface,PACNEPSC,NA,0,0,3,0.076333333,0.008962886
KAHO,5/15/2008,2008.375,2008,0.375,TKAHO0220080515,Temporary,Anchialine,Central,HA_Honoko_029,NO3,mg/l      ,Surface,PACNEPSC,NA,0,0,3,0.498666667,0.052080067
KAHO,5/15/2008,2008.375,2008,0.375,TKAHO0220080515,Temporary,Anchialine,Central,HA_Honoko_029,TDN,mg/l      ,Surface,PACNEPSC,NA,0,0,3,0.974666667,0.38840357
KAHO,5/15/2008,2008.375,2008,0.375,TKAHO0220080515,Temporary,Anchialine,Central,HA_Honoko_029,TDP,mg/l      ,Surface,PACNEPSC,NA,0,0,3,0.06,0.006557439
KAHO,10/27/2008,2008.875,2008,0.875,FKAHO01_ap,Fixed,Anchialine,Central,HA_Kaloko_005,NO3,mg/l      ,Surface,PACNEPSC,NA,0,0,3,0.554,0.115831775
KAHO,10/27/2008,2008.875,2008,0.875,FKAHO01_ap,Fixed,Anchialine,Central,HA_Kaloko_005,TDN,mg/l      ,Surface,PACNEPSC,NA,0,0,3,0.633333333,0.171608081
KAHO,10/27/2008,2008.875,2008,0.875,FKAHO01_ap,Fixed,Anchialine,Central,HA_Kaloko_005,TDP,mg/l      ,Surface,PACNEPSC,NA,0,0,3,0.060333333,0.005033223
KAHO,10/27/2008,2008.875,2008,0.875,FKAHO02_ap,Fixed,Anchialine,Central,HA_Kaloko_016,NO3,mg/l      ,Surface,PACNEPSC,NA,0,0,3,0.803666667,0.152791797
KAHO,10/27/2008,2008.875,2008,0.875,FKAHO02_ap,Fixed,Anchialine,Central,HA_Kaloko_016,TDN,mg/l      ,Surface,PACNEPSC,NA,0,0,3,0.919666667,0.195709819
