Unit_Code,Start_Date,Year_Quarter,Year,Quarter,Station_ID,Station_Type,Loc_Type,Pool_Group,Loc_Name,Parameter,Units,Depth,Colocation,QA_Flag,Plume,n,corrected_mean,sd
KAHO,5/15/2008,2008.375,2008,0.375,FKAHO01_ap,Fixed,Anchialine,Central,HA_Kaloko_005,BP,psi       ,Surface,NA,0,0,1,NA,NA
KAHO,5/15/2008,2008.375,2008,0.375,FKAHO01_ap,Fixed,Anchialine,Central,HA_Kaloko_005,Chl,µg/l      ,Surface,NA,0,0,1,0.2,NA
KAHO,5/15/2008,2008.375,2008,0.375,FKAHO01_ap,Fixed,Anchialine,Central,HA_Kaloko_005,ODOConc,mg/l      ,Surface,NA,0,0,1,7.52,NA
KAHO,5/15/2008,2008.375,2008,0.375,FKAHO01_ap,Fixed,Anchialine,Central,HA_Kaloko_005,ODOSat,%         ,Surface,NA,0,0,1,90.25,NA
KAHO,5/15/2008,2008.375,2008,0.375,FKAHO01_ap,Fixed,Anchialine,Central,HA_Kaloko_005,pH,None      ,Surface,NA,0,0,1,7.85,NA
KAHO,5/15/2008,2008.375,2008,0.375,FKAHO01_ap,Fixed,Anchialine,Central,HA_Kaloko_005,Sal,ppth      ,Surface,NA,0,0,1,13.46,NA
KAHO,5/15/2008,2008.375,2008,0.375,FKAHO01_ap,Fixed,Anchialine,Central,HA_Kaloko_005,SpCond,mS/cm     ,Surface,NA,0,0,1,22.29,NA
KAHO,5/15/2008,2008.375,2008,0.375,FKAHO01_ap,Fixed,Anchialine,Central,HA_Kaloko_005,Temp,°C,Surface,NA,0,0,1,20.37,NA
KAHO,5/15/2008,2008.375,2008,0.375,FKAHO01_ap,Fixed,Anchialine,Central,HA_Kaloko_005,Turbid+,FNU       ,Surface,NA,0,0,1,0.1,NA
KAHO,5/15/2008,2008.375,2008,0.375,FKAHO02_ap,Fixed,Anchialine,Central,HA_Kaloko_016,BP,psi       ,Surface,NA,0,0,1,NA,NA
KAHO,5/15/2008,2008.375,2008,0.375,FKAHO02_ap,Fixed,Anchialine,Central,HA_Kaloko_016,Chl,µg/l      ,Surface,NA,0,0,1,0.12,NA
KAHO,5/15/2008,2008.375,2008,0.375,FKAHO02_ap,Fixed,Anchialine,Central,HA_Kaloko_016,ODOConc,mg/l      ,Surface,NA,0,0,1,8.14,NA
KAHO,5/15/2008,2008.375,2008,0.375,FKAHO02_ap,Fixed,Anchialine,Central,HA_Kaloko_016,ODOSat,%         ,Surface,NA,0,0,1,94.26,NA
KAHO,5/15/2008,2008.375,2008,0.375,FKAHO02_ap,Fixed,Anchialine,Central,HA_Kaloko_016,pH,None      ,Surface,NA,0,0,1,7.87,NA
KAHO,5/15/2008,2008.375,2008,0.375,FKAHO02_ap,Fixed,Anchialine,Central,HA_Kaloko_016,Sal,ppth      ,Surface,NA,0,0,1,9.18,NA
KAHO,5/15/2008,2008.375,2008,0.375,FKAHO02_ap,Fixed,Anchialine,Central,HA_Kaloko_016,SpCond,mS/cm     ,Surface,NA,0,0,1,15.67,NA
KAHO,5/15/2008,2008.375,2008,0.375,FKAHO02_ap,Fixed,Anchialine,Central,HA_Kaloko_016,Temp,°C,Surface,NA,0,0,1,19.84,NA
KAHO,5/15/2008,2008.375,2008,0.375,FKAHO02_ap,Fixed,Anchialine,Central,HA_Kaloko_016,Turbid+,FNU       ,Surface,NA,0,0,1,0.1,NA
KAHO,5/15/2008,2008.375,2008,0.375,TKAHO0120080515,Temporary,Anchialine,Central,HA_Kaloko_011,BP,psi       ,Surface,NA,0,0,1,NA,NA
KAHO,5/15/2008,2008.375,2008,0.375,TKAHO0120080515,Temporary,Anchialine,Central,HA_Kaloko_011,Chl,µg/l      ,Surface,NA,0,0,1,0.3,NA
KAHO,5/15/2008,2008.375,2008,0.375,TKAHO0120080515,Temporary,Anchialine,Central,HA_Kaloko_011,ODOConc,mg/l      ,Surface,NA,0,0,1,7.77,NA
KAHO,5/15/2008,2008.375,2008,0.375,TKAHO0120080515,Temporary,Anchialine,Central,HA_Kaloko_011,ODOSat,%         ,Surface,NA,0,0,1,90.81,NA
KAHO,5/15/2008,2008.375,2008,0.375,TKAHO0120080515,Temporary,Anchialine,Central,HA_Kaloko_011,pH,None      ,Surface,NA,0,0,1,7.79,NA
KAHO,5/15/2008,2008.375,2008,0.375,TKAHO0120080515,Temporary,Anchialine,Central,HA_Kaloko_011,Sal,ppth      ,Surface,NA,0,0,1,7.63,NA
KAHO,5/15/2008,2008.375,2008,0.375,TKAHO0120080515,Temporary,Anchialine,Central,HA_Kaloko_011,SpCond,mS/cm     ,Surface,NA,0,0,1,13.22,NA
KAHO,5/15/2008,2008.375,2008,0.375,TKAHO0120080515,Temporary,Anchialine,Central,HA_Kaloko_011,Temp,°C,Surface,NA,0,0,1,20.79,NA
KAHO,5/15/2008,2008.375,2008,0.375,TKAHO0120080515,Temporary,Anchialine,Central,HA_Kaloko_011,Turbid+,FNU       ,Surface,NA,0,0,1,0.1,NA
KAHO,5/15/2008,2008.375,2008,0.375,TKAHO0220080515,Temporary,Anchialine,Central,HA_Honoko_029,BP,psi       ,Surface,NA,0,0,1,NA,NA
KAHO,5/15/2008,2008.375,2008,0.375,TKAHO0220080515,Temporary,Anchialine,Central,HA_Honoko_029,Chl,µg/l      ,Surface,NA,0,0,1,0.31,NA
KAHO,5/15/2008,2008.375,2008,0.375,TKAHO0220080515,Temporary,Anchialine,Central,HA_Honoko_029,ODOConc,mg/l      ,Surface,NA,0,0,1,7.42,NA
KAHO,5/15/2008,2008.375,2008,0.375,TKAHO0220080515,Temporary,Anchialine,Central,HA_Honoko_029,ODOSat,%         ,Surface,NA,0,0,1,85.55,NA
KAHO,5/15/2008,2008.375,2008,0.375,TKAHO0220080515,Temporary,Anchialine,Central,HA_Honoko_029,pH,None      ,Surface,NA,0,0,1,7.84,NA
KAHO,5/15/2008,2008.375,2008,0.375,TKAHO0220080515,Temporary,Anchialine,Central,HA_Honoko_029,Sal,ppth      ,Surface,NA,0,0,1,8.68,NA
KAHO,5/15/2008,2008.375,2008,0.375,TKAHO0220080515,Temporary,Anchialine,Central,HA_Honoko_029,SpCond,mS/cm     ,Surface,NA,0,0,1,14.87,NA
KAHO,5/15/2008,2008.375,2008,0.375,TKAHO0220080515,Temporary,Anchialine,Central,HA_Honoko_029,Temp,°C,Surface,NA,0,0,1,19.77,NA
KAHO,5/15/2008,2008.375,2008,0.375,TKAHO0220080515,Temporary,Anchialine,Central,HA_Honoko_029,Turbid+,FNU       ,Surface,NA,0,0,1,0.1,NA
KAHO,10/27/2008,2008.875,2008,0.875,FKAHO01_ap,Fixed,Anchialine,Central,HA_Kaloko_005,Chl,µg/l      ,Surface,NA,0,0,1,0.1,NA
KAHO,10/27/2008,2008.875,2008,0.875,FKAHO01_ap,Fixed,Anchialine,Central,HA_Kaloko_005,ODOConc,mg/l      ,Surface,NA,0,0,1,7.82,NA
KAHO,10/27/2008,2008.875,2008,0.875,FKAHO01_ap,Fixed,Anchialine,Central,HA_Kaloko_005,ODOSat,%         ,Surface,NA,0,0,1,94.81,NA
KAHO,10/27/2008,2008.875,2008,0.875,FKAHO01_ap,Fixed,Anchialine,Central,HA_Kaloko_005,pH,None      ,Surface,NA,0,0,1,7.86,NA
KAHO,10/27/2008,2008.875,2008,0.875,FKAHO01_ap,Fixed,Anchialine,Central,HA_Kaloko_005,Sal,ppth      ,Surface,NA,0,0,1,13.71,NA
KAHO,10/27/2008,2008.875,2008,0.875,FKAHO01_ap,Fixed,Anchialine,Central,HA_Kaloko_005,SpCond,mS/cm     ,Surface,NA,0,0,1,22.68,NA
KAHO,10/27/2008,2008.875,2008,0.875,FKAHO01_ap,Fixed,Anchialine,Central,HA_Kaloko_005,Temp,°C,Surface,NA,0,0,1,20.87,NA
KAHO,10/27/2008,2008.875,2008,0.875,FKAHO01_ap,Fixed,Anchialine,Central,HA_Kaloko_005,Turbid+,FNU       ,Surface,NA,0,0,1,0.1,NA
KAHO,10/27/2008,2008.875,2008,0.875,FKAHO02_ap,Fixed,Anchialine,Central,HA_Kaloko_016,Chl,µg/l      ,Surface,NA,0,0,1,0.17,NA
KAHO,10/27/2008,2008.875,2008,0.875,FKAHO02_ap,Fixed,Anchialine,Central,HA_Kaloko_016,ODOConc,mg/l      ,Surface,NA,0,0,1,8.43,NA
KAHO,10/27/2008,2008.875,2008,0.875,FKAHO02_ap,Fixed,Anchialine,Central,HA_Kaloko_016,ODOSat,%         ,Surface,NA,0,0,1,98.71,NA
KAHO,10/27/2008,2008.875,2008,0.875,FKAHO02_ap,Fixed,Anchialine,Central,HA_Kaloko_016,pH,None      ,Surface,NA,0,0,1,7.86,NA
KAHO,10/27/2008,2008.875,2008,0.875,FKAHO02_ap,Fixed,Anchialine,Central,HA_Kaloko_016,Sal,ppth      ,Surface,NA,0,0,1,7.43,NA
KAHO,10/27/2008,2008.875,2008,0.875,FKAHO02_ap,Fixed,Anchialine,Central,HA_Kaloko_016,SpCond,mS/cm     ,Surface,NA,0,0,1,12.9,NA
KAHO,10/27/2008,2008.875,2008,0.875,FKAHO02_ap,Fixed,Anchialine,Central,HA_Kaloko_016,Temp,°C,Surface,NA,0,0,1,20.92,NA
KAHO,10/27/2008,2008.875,2008,0.875,FKAHO02_ap,Fixed,Anchialine,Central,HA_Kaloko_016,Turbid+,FNU       ,Surface,NA,0,0,1,0.1,NA
